City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,geraldton,-28.7667,114.6,19.23,48,100,8.75,AU,1696218567
84,lihue,21.9789,-159.3672,29.58,77,40,6.69,US,1696218711
85,umm kaddadah,13.6017,26.6876,29.86,46,99,5.37,SD,1696218711
86,vorkuta,67.5,64.0,8.96,98,100,6.38,RU,1696218711
87,borogontsy,62.6683,131.1683,3.49,85,100,1.79,RU,1696218711
88,dawei,14.0833,98.2,26.19,90,100,1.11,MM,1696218711
89,bassar,9.25,0.7833,21.75,96,95,1.48,TG,1696218712
90,prado,-17.3411,-39.2208,21.97,82,50,3.12,BR,1696218712
91,gebeit,21.0667,36.3167,26.74,47,5,2.09,SD,1696218712
92,margaret river,-33.95,115.0667,13.39,49,89,10.26,AU,1696218712
93,arteche,12.2645,125.4048,32.07,61,99,3.45,PH,1696218712
94,midvagur,62.0511,-7.1939,10.46,93,75,5.14,FO,1696218712
95,blackmans bay,-43.0167,147.3167,21.52,32,63,5.05,AU,1696218712
96,longyearbyen,78.2186,15.6401,-3.09,63,75,9.26,SJ,1696218490
97,zakynthos,37.7914,20.8953,18.13,69,1,1.62,GR,1696218713
98,labrador city,52.9463,-66.9114,4.95,87,0,3.09,CA,1696218713
99,tarauaca,-8.1614,-70.7656,22.7,98,100,0.81,BR,1696218713
100,mirpur khas,25.5251,69.0159,33.47,9,40,1.84,PK,1696218713
101,thompson,55.7435,-97.8558,3.09,93,100,3.6,CA,1696218713
102,zhenlai,45.8495,123.2973,19.07,33,1,1.32,CN,1696218714
103,remire-montjoly,4.9167,-52.2667,27.02,83,20,1.03,GF,1696218714
104,paratinga,-12.6906,-43.1842,26.64,49,39,2.73,BR,1696218714
105,ingeniero jacobacci,-41.3427,-69.5448,7.57,51,100,5.66,AR,1696218714
106,tiksi,71.6872,128.8694,-4.57,75,13,0.85,RU,1696218714
107,malango,-2.9627,119.9001,30.24,43,99,2.32,ID,1696218714
108,boca do acre,-8.7522,-67.3978,23.83,94,86,1.17,BR,1696218715
109,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,88,100,7.0,RU,1696218659
110,touros,-5.1989,-35.4608,24.11,78,17,5.27,BR,1696218715
111,salym,60.0625,71.4789,9.38,81,21,5.03,RU,1696218715
112,tazacorte,28.629,-17.9293,22.54,83,20,4.12,ES,1696218715
113,olonkinbyen,70.9221,-8.7187,-0.02,88,100,7.85,SJ,1696218715
114,hilo,19.7297,-155.09,26.85,80,100,3.09,US,1696218715
115,iskateley,67.6803,53.1512,10.57,96,89,3.58,RU,1696218716
116,isafjordur,66.0755,-23.124,4.84,95,100,11.06,IS,1696218716
117,mbandjok,4.45,11.9,21.24,98,100,1.62,CM,1696218716
