,City,Country,Lat,Lng,Humidity,Hotel Name
100,san antonio de pale,GQ,-1.4014,5.6325,83,No hotel found
101,patong,TH,7.8961,98.2966,76,Thara Patong Beach Resort & Spa
102,sisimiut,GL,66.9395,-53.6735,67,Sømandshjemmet
103,la'ie,US,21.6477,-157.9253,78,No hotel found
104,margaret river,AU,-33.95,115.0667,69,Margaret River Hotel
105,thompson,CA,55.7435,-97.8558,87,Thompson Inn
106,canutama,BR,-6.5339,-64.3831,24,No hotel found
107,prince albert,CA,53.2001,-105.7677,93,No hotel found
108,sungai petani,MY,5.647,100.4877,91,The Jerai Hotel Sungai Petani
109,saint-francois,FR,46.4154,3.9054,72,Chez Lily
110,ternate,ID,0.8,127.4,83,Boulivard ternate
111,palikir - national government center,FM,6.9248,158.1611,100,Mangrove Bay Hotel
112,arraial do cabo,BR,-22.9661,-42.0278,88,No hotel found
113,kingston,JM,17.997,-76.7936,69,Aphrodite Hotel
114,susuman,RU,62.7833,148.1667,92,No hotel found
115,okhotsk,RU,59.3833,143.3,82,No hotel found
116,funafuti,TV,-8.5243,179.1942,76,Vaiaku Lagi Hotel
117,tranas,SE,58.0372,14.9782,88,Hotel Åberg
118,lompoc,US,34.6391,-120.4579,70,Embassy Suites by Hilton Lompoc Central Coast
119,bayanhongor,MN,46.7167,100.1167,91,No hotel found
120,forbes,AU,-33.3833,148.0167,50,No hotel found
121,queenstown,ZA,-31.8976,26.8753,78,Queens Hotel
122,praia da vitoria,PT,38.7333,-27.0667,78,Salles
123,kas,TR,36.2018,29.6377,64,KEKOVA OTEL
124,victorica,AR,-36.2151,-65.4359,17,Hotel Mazamet
125,belyy yar,RU,53.6039,91.3903,81,No hotel found
126,tiksi,RU,71.6872,128.8694,91,Арктика
127,puerto san jose,GT,13.9256,-90.8244,71,Martita
128,turkmenbasy,TM,40.0222,52.9552,39,Türkmenbaşy Oteli
129,lingcheng,CN,22.7072,110.3492,93,No hotel found
130,ketchikan,US,55.3422,-131.6461,93,Cape Fox Lodge
131,hovd,MN,48.0056,91.6419,56,Khovd hotel
132,west island,CC,-12.1568,96.8225,78,Cocos Village Bungalows
133,ankang,CN,32.68,109.0172,95,金友商务酒店
134,bilibino,RU,68.0546,166.4372,89,No hotel found
135,pasni,PK,25.2631,63.471,59,Juddi Hotel
136,puerto baquerizo moreno,EC,-0.9,-89.6,69,Dory's House
137,kodiak,US,57.79,-152.4072,93,Shelikof Lodge
138,lorengau,PG,-2.0226,147.2712,83,Seeadler Bay Hotel
139,barentu,ER,15.1139,37.5928,31,No hotel found
140,manjeshvar,IN,12.7,74.8833,84,No hotel found
141,al wafrah,KW,28.6392,47.9306,17,No hotel found
142,ashland,US,40.8167,-82.2665,70,Quality Inn
143,avarua,CK,-21.2078,-159.775,94,Paradise Inn
144,tezu,IN,27.9167,96.1667,93,No hotel found
145,mingoyo,TZ,-10.1,39.6333,90,Mingoyo hotel
146,puerto natales,CL,-51.7236,-72.4875,100,Dorotea Patagonia Hostel
147,djibouti,DJ,11.5,42.5,54,No hotel found
148,kununurra,AU,-15.7667,128.7333,83,Kununurra Country Club Resort
149,phillip island,AU,-38.4835,145.231,81,Island Breeze Resort
150,bozoum,CF,6.3193,16.3799,93,No hotel found
151,zhumysker,KZ,49.3333,49.4,49,No hotel found
152,swift current,CA,50.2834,-107.8014,100,Days Inn
153,puerto deseado,AR,-47.7503,-65.8938,49,Los Olmos
154,horta,PT,38.5333,-28.6333,75,Azoris Faial Garden - Resort Hotel
155,taoudenni,ML,22.6783,-3.9836,10,No hotel found
156,gazli,UZ,40.1333,63.45,29,No hotel found
157,fale old settlement,TK,-9.3852,-171.2468,74,No hotel found
158,clearlake,US,38.9582,-122.6264,33,Best Western El Grande Inn
159,portland,US,45.5234,-122.6762,68,the Hoxton
160,jutai,BR,-5.1833,-68.9,55,No hotel found
161,nueva gerona,CU,21.8833,-82.8,68,Hotel Bamboo
162,zhangye,CN,38.9342,100.4517,47,Zhangye Hotel 张掖饭店
163,toliara,MG,-23.35,43.6667,79,Ambary
164,longyearbyen,SJ,78.2186,15.6401,58,The Vault
165,ca mau,VN,9.1769,105.15,89,Khách sạn Song Ngọc
166,touros,BR,-5.1989,-35.4608,59,Pousada Atlântico
167,tubarjal,SA,30.4999,38.216,34,No hotel found
168,bouarfa,MA,32.53,-1.95,18,Climat du Maroc مناخ المغرب
169,manokwari,ID,-0.8667,134.0833,80,Hotel Arfak
170,willowmore,ZA,-33.2926,23.4895,62,No hotel found
171,nasiriyah,IQ,31.0521,46.261,18,فندق حمورابي
172,khandyga,RU,62.6667,135.6,83,Апельсин
173,pisco,PE,-13.7,-76.2167,78,La Portada
174,wailua homesteads,US,22.0669,-159.378,79,Hilton Garden Inn Kauai Wailua Bay
175,karratha,AU,-20.7377,116.8463,35,Karratha International Hotel
176,cloquet,US,46.7216,-92.4594,85,AmericInn
177,broome,US,42.2506,-75.833,65,No hotel found
178,sirnak,TR,37.5228,42.4594,74,Hotel Menekse
179,port saint john's,ZA,-31.6229,29.5448,63,Outback Inn
180,murliganj,IN,25.9,86.9833,94,No hotel found
181,gilgit,PK,35.9221,74.3087,36,PTDC Motel
182,santana,BR,-0.0583,-51.1817,55,Hotel Teodoro
183,talnakh,RU,69.4865,88.3972,92,Талнах
184,nar'yan-mar,RU,67.6713,53.087,96,"Гостиница ""Агат"""
185,manadhoo,MV,5.7667,73.3833,79,Iru fushi beach & spa resort
186,salvador,SV,13.8333,-88.9167,66,No hotel found
187,moires,GR,35.0532,24.8744,44,Hotel Olympic
188,lata,PT,40.1629,-8.3327,59,Residencial Botânico
189,matoury,GF,4.8483,-52.3317,62,La Marmotte
190,revda,RU,56.801,59.9303,82,Металлург
191,mountain home,US,43.133,-115.6912,95,Best Western Foothills Inn
192,shigony,RU,53.3875,48.6777,61,No hotel found
193,villa de soto,AR,-30.8552,-64.9995,23,La Eleida
194,letlhakane,BW,-21.4167,25.5833,17,Boteti Hotel
195,lebu,CL,-37.6167,-73.65,67,No hotel found
196,katsuura,JP,35.1333,140.3,73,潮騒の宿
197,bucerias,MX,20.75,-105.3333,68,Royal Decameron Complex
